Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Hispanic or Latino,132,159,83.0
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Male,136,168,81.0
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Migrant,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Native American ,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,Students With Disabilities,*,21,42.9
2010,4 Year,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,White,78,96,81.3
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,All,429,513,83.6
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Asian,29,37,78.4
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Black/African American,64,76,84.2
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Economically Disadvantaged,*,22,31.8
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Female,203,239,84.9
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Hispanic or Latino,128,161,79.5
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Male,226,274,82.5
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Migrant,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Native American ,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,Students With Disabilities,19,26,73.1
2010,4 Year,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,White,203,232,87.5
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,All,257,296,86.8
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Asian,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Black/African American,23,25,92.0
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Economically Disadvantaged,*,13,53.9
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Female,126,140,90.0
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Hispanic or Latino,81,92,88.0
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Male,131,156,84.0
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Migrant,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Native American ,*,*,*
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,Students With Disabilities,21,25,84.0
2010,4 Year,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,White,143,165,86.7
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,All,75,159,47.2
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Black/African American,18,28,64.3
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Economically Disadvantaged,62,124,50.0
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Female,35,84,41.7
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Hispanic or Latino,49,109,45.0
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Male,40,75,53.3
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Migrant,*,*,*
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Native American ,*,*,*
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,Students With Disabilities,*,*,*
2010,4 Year,79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Maricopa,White,*,17,29.4
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,All,*,*,*
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,Economically Disadvantaged,*,*,*
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,Female,*,*,*
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,Hispanic or Latino,*,*,*
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,Male,*,*,*
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,Migrant,*,*,*
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,Native American ,*,*,*
2010,4 Year,79977,Air Academy Charter High School dba Thomas Jefferson High School,79978,Thomas Jefferson High School,Maricopa,Students With Disabilities,*,*,*
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,All,27,34,79.4
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Economically Disadvantaged,11,14,78.6
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Female,13,13,100.0
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Hispanic or Latino,16,19,84.2
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Limited English Proficient,*,*,*
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Male,14,21,66.7
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Migrant,*,*,*
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Native American ,*,*,*
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,Students With Disabilities,*,*,*
2010,4 Year,4409,Ajo Unified District,6292,Ajo High School,Pima,White,*,*,*
2010,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,All,*,*,*
2010,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Economically Disadvantaged,*,*,*
2010,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Limited English Proficient,*,*,*
2010,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Male,*,*,*
2010,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Migrant,*,*,*
2010,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,Students With Disabilities,*,*,*
2010,4 Year,81031,Allsport Academy,79681,Allsport Academy,Pima,White,*,*,*
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,All,80,91,87.9
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Black/African American,*,*,*
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Economically Disadvantaged,64,73,87.7
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Female,50,54,92.6
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Hispanic or Latino,73,84,86.9
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Limited English Proficient,11,13,84.6
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Male,30,37,81.1
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Migrant,*,*,*
